板块,公司全称,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,广东伊之密精密机械股份有限公司,300415,伊之密,1/23/2015,"432,000,000","406,297,240",,,,0,0,华南,广东,佛山市,C 制造业,www.yizumi-group.com
创业板,苏州苏试试验集团股份有限公司,300416,苏试试验,1/22/2015,"203,366,290","201,858,790",,,,0,0,华东,江苏,苏州市,C 制造业,www.chinasti.com
创业板,佛山市南华仪器股份有限公司,300417,南华仪器,1/23/2015,"137,008,376","75,637,369",,,,0,0,华南,广东,佛山市,C 制造业,www.nanhua.com.cn
创业板,北京昆仑万维科技股份有限公司,300418,昆仑万维,1/21/2015,"1,173,379,510","1,002,004,741",,,,0,0,华北,北京,北京市,I 信息技术,www.kunlun.com
创业板,北京浩丰创源科技股份有限公司,300419,浩丰科技,1/22/2015,"367,753,770","367,753,770",,,,0,0,华北,北京,北京市,I 信息技术,www.interact.net.cn
创业板,江苏五洋停车产业集团股份有限公司,300420,五洋停车,2/17/2015,"858,756,586","642,656,873",,,,0,0,华东,江苏,徐州市,C 制造业,www.wuyangkeji.com
创业板,江苏力星通用钢球股份有限公司,300421,力星股份,2/17/2015,"242,465,404","185,545,476",,,,0,0,华东,江苏,南通市,C 制造业,www.jgbr.com.cn
创业板,广西博世科环保科技股份有限公司,300422,博世科,2/17/2015,"405,713,128","379,599,406",,,,0,0,华南,广西,南宁市,N 公共环保,www.bossco.cc
创业板,昇辉智能科技股份有限公司,300423,昇辉科技,2/17/2015,"498,424,190","258,200,013",,,,0,0,华东,山东,烟台市,C 制造业,www.luyitong.com
创业板,广州航新航空科技股份有限公司,300424,航新科技,4/22/2015,"239,863,590","195,884,209",,,,0,0,华南,广东,广州市,C 制造业,www.hangxin.com
创业板,中建环能科技股份有限公司,300425,中建环能,2/16/2015,"675,708,786","671,604,890",,,,0,0,西南,四川,成都市,C 制造业,www.scimee.com
创业板,浙江唐德影视股份有限公司,300426,唐德影视,2/17/2015,"418,919,000","259,364,674",,,,0,0,华东,浙江,金华市,R 文化传播,www.tangde.com.cn
创业板,红相股份有限公司,300427,红相股份,2/17/2015,"360,219,028","317,500,583",,,,0,0,华东,福建,厦门市,C 制造业,www.redphase.com.cn
创业板,河北四通新型金属材料股份有限公司,300428,四通新材,3/19/2015,"578,369,253","213,766,543",,,,0,0,华北,河北,保定市,C 制造业,www.stnm.com.cn
创业板,常州强力电子新材料股份有限公司,300429,强力新材,3/24/2015,"515,253,388","316,694,374",,,,0,0,华东,江苏,常州市,C 制造业,www.tronly.com
创业板,北京诚益通控制工程科技股份有限公司,300430,诚益通,3/19/2015,"272,008,896","255,084,784",,,,0,0,华北,北京,北京市,C 制造业,www.ctntech.com
创业板,绵阳富临精工股份有限公司,300432,富临精工,3/19/2015,"739,032,248","715,558,758",,,,0,0,西南,四川,绵阳市,C 制造业,www.fulinpm.com
创业板,蓝思科技股份有限公司,300433,蓝思科技,3/18/2015,"4,383,857,357","4,369,157,857",,,,0,0,华中,湖南,长沙市,C 制造业,www.hnlens.com
创业板,四川金石亚洲医药股份有限公司,300434,金石亚药,4/24/2015,"401,743,872","320,432,434",,,,0,0,西南,四川,成都市,C 制造业,www.goldstone-group.com
创业板,杭州中泰深冷技术股份有限公司,300435,中泰股份,3/26/2015,"378,190,300","288,096,859",,,,0,0,华东,浙江,杭州市,D 水电煤气,www.zhongtaihangzhou.com
创业板,福建广生堂药业股份有限公司,300436,广生堂,4/22/2015,"140,000,000","114,011,326",,,,0,0,华东,福建,宁德市,C 制造业,www.cosunter.com
创业板,河南清水源科技股份有限公司,300437,清水源,4/23/2015,"221,234,142","137,131,642",,,,0,0,华中,河南,济源市,C 制造业,www.qywt.com.cn
创业板,广州鹏辉能源科技股份有限公司,300438,鹏辉能源,4/24/2015,"419,537,355","316,681,209",,,,0,0,华南,广东,广州市,C 制造业,www.greatpower.net
创业板,美康生物科技股份有限公司,300439,美康生物,4/22/2015,"342,999,820","206,387,419",,,,0,0,华东,浙江,宁波市,C 制造业,www.nbmedicalsystem.com
创业板,成都运达科技股份有限公司,300440,运达科技,4/23/2015,"448,000,000","439,985,627",,,,0,0,西南,四川,成都市,I 信息技术,www.yd-tec.com
