"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年8月22日","55.35","55.94","56.46","54.85","621.57K","-0.59%"
"2019年8月21日","55.68","56.05","57.13","55.55","704.04K","-1.17%"
"2019年8月20日","56.34","56.10","56.60","55.28","47.45K","0.23%"
"2019年8月19日","56.21","54.96","56.41","54.84","113.57K","2.44%"
"2019年8月16日","54.87","54.74","55.67","54.26","168.35K","0.73%"
"2019年8月15日","54.47","54.90","55.33","53.77","527.87K","-1.38%"
"2019年8月14日","55.23","56.74","56.85","53.97","718.29K","-3.27%"
"2019年8月13日","57.10","54.73","57.47","54.21","783.49K","3.95%"
"2019年8月12日","54.93","54.32","55.18","53.54","611.03K","0.79%"
"2019年8月9日","54.50","52.88","54.92","52.37","726.39K","3.73%"
"2019年8月8日","52.54","52.33","53.06","51.94","724.76K","2.84%"
"2019年8月7日","51.09","53.42","53.77","50.52","1.06M","-4.74%"
"2019年8月6日","53.63","54.95","55.42","53.29","682.79K","-1.94%"
"2019年8月5日","54.69","55.38","55.61","54.22","823.84K","-1.74%"
"2019年8月2日","55.66","54.54","56.05","54.15","739.81K","3.17%"
"2019年8月1日","53.95","57.85","57.99","53.59","886.75K","-7.90%"
"2019年7月31日","58.58","58.34","58.82","57.81","614.00K","0.91%"
